,result_theta_l [deg],result_delta_h [m],lambda_delta,lambda_P,Pload
120,3.428525861172602,0.015634182516334416,1.1094828633884701,39647.96885000922,60321.3567839196
121,3.4143392043824856,0.015649289461875715,1.1105549307753453,39978.0947241222,60823.61809045226
122,3.400327113986349,0.015664450532286822,1.1116308391443421,40308.220598235166,61325.87939698492
123,3.386486042736577,0.015679396755807762,1.1126915008611624,40638.346472348145,61828.14070351759
124,3.372812543739201,0.015694365013384504,1.1137537262291233,40968.472346461116,62330.402010050246
125,3.359303266197457,0.015709329087714052,1.114815654732117,41298.59822057409,62832.66331658291
126,3.3459549523013266,0.01572437026075235,1.1158830545602705,41628.724094687066,63334.92462311558
127,3.3327644336259254,0.0157392303594317,1.1169376044106238,41958.84996880003,63837.185929648236
128,3.319728628512166,0.015754026510577557,1.117987616211579,42288.97584291301,64339.4472361809
129,3.306844538792575,0.015768915648978643,1.1190442268715455,42619.10171702598,64841.70854271357
130,3.2941092466808186,0.015783710090643388,1.1200941173588344,42949.22759113895,65343.96984924623
131,3.2815199124797805,0.01579861914407965,1.1211521412932226,43279.35346525193,65846.23115577889
132,3.2690737714710854,0.01581348420540496,1.122207043318731,43609.479339364894,66348.49246231155
133,3.256768131623176,0.015828161148511266,1.1232485954975135,43939.60521347787,66850.75376884422
134,3.244600371299384,0.01584281476139693,1.1242884920425606,44269.731087590844,67353.01507537688
135,3.2325679368022975,0.015857735817118135,1.1253473677214807,44599.856961703816,67855.27638190954
136,3.220668339754411,0.015872518758361376,1.1263964420790762,44929.982835816794,68357.53768844221
137,3.2088991554610398,0.015887093540823294,1.1274307444074658,45260.108709929766,68859.79899497487
138,3.1972580207821015,0.015901660242577775,1.1284644732868494,45590.23458404274,69362.06030150753
139,3.185742632003894,0.015916383774612686,1.1295093316581917,45920.360458155716,69864.3216080402
140,3.1743507428745943,0.01593122499089472,1.1305625415154743,46250.48633226869,70366.58291457286
141,3.1630801628034533,0.015945978436342934,1.1316095226981249,46580.61220638166,70868.84422110552
142,3.1519287552237074,0.015960601399323204,1.1326472441665563,46910.73808049462,71371.10552763818
143,3.1408944357917794,0.015974928763026752,1.1336639883736814,47240.8639546076,71873.36683417085
144,3.129975171077604,0.015989675017573646,1.1347104592525936,47570.98982872057,72375.62814070351
145,3.119168976272704,0.016004205978213504,1.1357416517566885,47901.115702833544,72877.88944723617
146,3.1084739143716438,0.01601864347637827,1.1367662116776998,48231.24157694652,73380.15075376884
147,3.0978880945349383,0.016033375495558166,1.1378116723409695,48561.367451059494,73882.4120603015
148,3.0874096704519616,0.016048200123505163,1.1388637050037658,48891.493325172465,74384.67336683416
149,3.07703683903128,0.016062336866425775,1.1398669217692192,49221.619199285444,74886.93467336684
150,3.066767839745808,0.016077001649102196,1.140907610980683,49551.745073398415,75389.1959798995
151,3.056600952340887,0.016091310510757628,1.1419230421862936,49881.87094751138,75891.45728643215
152,3.0465344965068657,0.016105807705761643,1.1429518385053434,50211.996821624365,76393.71859296483
153,3.0365668302420095,0.01612053568002314,1.1439970121201763,50542.12269573733,76895.97989949748
154,3.0266963487065373,0.01613478962214887,1.1450085459504682,50872.2485698503,77398.24120603014
155,3.016921483567785,0.016149179775941325,1.1460297460687072,51202.37444396328,77900.50251256282
156,3.0072407015268254,0.016163596377278933,1.1470528230422343,51532.50031807625,78402.76381909547
157,2.997652503499921,0.016178112061011052,1.1480829314175411,51862.62619218922,78905.02512562813
158,2.988155423636272,0.016192965842838913,1.1491370329912758,52192.7520663022,79407.2864321608
159,2.978748028172048,0.01620731301042988,1.1501551825851999,52522.87794041517,79909.54773869347
160,2.969428914939271,0.01622167352044057,1.1511742790265862,52853.00381452814,80411.80904522612
161,2.960196712056131,0.016235314473184492,1.1521423119438086,53183.12968864112,80914.0703517588
162,2.9510500775995756,0.01624962493994009,1.1531578570556706,53513.25556275409,81416.33165829146
163,2.941987698295633,0.016264969587103217,1.1542467929852882,53843.38143686706,81918.59296482411
164,2.9330082885371667,0.016278960629501293,1.1552396700842595,54173.507310980036,82420.85427135679
165,2.9241105905475706,0.01629329282788672,1.156256757385543,54503.63318509301,82923.11557788945
166,2.9152933727436903,0.016307158538176103,1.1572407402665608,54833.75905920598,83425.3768844221
167,2.906555429572109,0.01632147954726182,1.158257033516971,55163.88493331895,83927.63819095476
168,2.8978955805268924,0.01633664403610069,1.1593331844753723,55494.01080743193,84429.89949748744
169,2.889312669331048,0.016350946345063733,1.160348150667868,55824.1366815449,84932.1608040201
170,2.8808055637728103,0.016364921344298233,1.1613398892605538,56154.26255565787,85434.42211055275
171,2.8723731548871,0.016379871875794372,1.1624008566936885,56484.38842977085,85936.68341708543
172,2.8640143559732683,0.016393962710742005,1.1634008155907336,56814.514303883814,86438.94472361809
173,2.855728102595094,0.016408130555783496,1.1644062395243644,57144.640177996785,86941.20603015074
174,2.8475133515985354,0.016421854915393053,1.1653801914263509,57474.766052109764,87443.46733668342
175,2.8393690807843086,0.016435561779241215,1.1663529017381593,57804.891926222735,87945.72864321608
176,2.831294288416757,0.016451379076434347,1.1674753793709085,58135.01780033571,88447.98994974873
177,2.8232879920778937,0.016465101773224244,1.1684492132705677,58465.143674448685,88950.25125628141
178,2.8153492291585276,0.016478594613625996,1.169406735366049,58795.26954856166,89452.51256281407
179,2.807477055876006,0.016493969886987037,1.1704978446898762,59125.39542267463,89954.77386934673
180,2.799670546455672,0.016508337832523368,1.1715174687948144,59455.52129678761,90457.0351758794
181,2.7919287932945736,0.016522485926376618,1.172521491081454,59785.64717090058,90959.29648241206
182,2.7842509061429146,0.01653553421214904,1.1734474652694855,60115.77304501354,91461.55778894472
183,2.776636011940355,0.016549126362330302,1.1744120349031686,60445.89891912653,91963.81909547739
184,2.769083254161159,0.016563718877040112,1.175447595604047,60776.02479323949,92466.08040201005
185,2.7615917924867968,0.016579730425867245,1.1765838583425339,61106.150667352464,92968.3417085427
186,2.754160802151091,0.01659241149147006,1.177483772678389,61436.27654146544,93470.60301507538
187,2.7467894744313526,0.01660844198044642,1.1786213795083227,61766.402415578414,93972.86432160804
188,2.7394770150112886,0.016621619367220952,1.1795565153745766,62096.528289691385,94475.1256281407
189,2.7322226447995495,0.01663598187665105,1.1805757537051578,62426.65416380436,94977.38693467337
190,2.725025598783759,0.01664975095903476,1.1815528793676826,62756.780037917335,95479.64824120603
191,2.717885126030523,0.016662140000163084,1.1824320701287814,63086.905912030306,95981.90954773869
192,2.7108004895217164,0.016677723307088277,1.183537942595753,63417.031786143285,96484.17085427136
193,2.703770965172225,0.016690315817914136,1.1844315726242964,63747.157660256256,96986.43216080402
194,2.696795842484789,0.016706820362002328,1.1856028208692724,64077.28353436922,97488.69346733668
195,2.6898744232403256,0.016721585393188354,1.186650624236105,64407.40940848219,97990.95477386934
196,2.683006021825349,0.01673193151617358,1.1873848389059558,64737.53528259517,98493.21608040201
197,2.67618996523197,0.016747616191757353,1.1884979050198905,65067.66115670814,98995.47738693467
198,2.6694255917482215,0.016760476988168516,1.1894105739882108,65397.78703082111,99497.73869346733
199,2.66271225177661,0.01677672909340744,1.1905639078601757,65727.91290493408,100000.0
